省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,淮河流域,八间房漫水桥,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
北京市,海河流域,古北口,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
天津市,海河流域,三岔口,01-12 08:00,Ⅱ,3.8789,7.7954,10.48,590.9487,5.616,1.77,0.16,0.0041,1.2842,--,--,正常
天津市,海河流域,果河桥,01-12 08:00,Ⅱ,6,8.99,15.073,689.479,5.2,3.5064,0.25,0.0356,5.3466,--,--,正常
河北省,海河流域,岗南水库,01-12 08:00,Ⅱ,7.70187,8.83238,12.31143,547.9585,1.67821,2.31148,0.04,0.01047,0.90679,--,--,正常
河北省,海河流域,八号桥,01-12 08:00,Ⅲ,1.25957,8.2307,11.24333,1502.289,17.42409,2.25,0.45,0.1455,8.775,--,--,正常
山西省,黄河流域,河津大桥,01-12 08:00,劣Ⅴ,5.07947,8.28444,12.15494,1909.403,36.61644,6.3511,2.58,--,--,--,--,正常
山西省,黄河流域,万家寨水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,画匠营子,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,海勃湾,01-12 08:00,Ⅱ,2.82588,8.50144,10.47269,863.3637,19.69642,1.63,0.24,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,01-12 08:00,Ⅱ,5.26385,7.73073,10.18866,315.7616,14.1144,2.26496,0.09,0.0214,2.91282,0.00209,--,正常
辽宁省,辽河流域,江桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,辽河公园,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,汤河水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,盘锦兴安(兴安),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,珠尔山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,01-12 08:00,Ⅳ,3.24712,7.04296,12.90723,409.3441,33.00139,7.08405,0.23171,0.04637,1.55608,--,--,正常
吉林省,松花江流域,圈河,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,01-12 08:00,Ⅲ,3.28214,7.22465,11.8956,360.261,19.5534,5.76333,0.31037,0.04834,2.89159,--,--,正常
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
江苏省,长江流域,林山,01-12 08:00,Ⅱ,8.70343,8.00221,11.2959,365.711,40.8243,1.38,0.155,--,--,--,--,正常
江苏省,太湖流域,沙渚,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,小红圈,01-12 08:00,Ⅲ,5.61,8.15,17.89,781.5,48.11,4.24,0.057,--,--,--,--,正常
江苏省,淮河流域,李集桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,艾山西大桥,01-12 08:00,Ⅱ,0.53897,8.42352,14.6938,928.411,4.13032,2.09,0.13,0.03109,14.52024,--,--,正常
江苏省,太湖流域,兰山嘴(老),--,--,--,--,--,--,--,--,--,--,--,--,--,维护
江苏省,太湖流域,西山,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
江苏省,淮河流域,大兴桥,01-12 08:00,Ⅲ,2,7.49,20.27,948.5,18.29,5.68,0.759,--,--,--,--,正常
江苏省,淮河流域,淮河大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
江苏省,长江流域,三江营,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,大屈,01-12 08:00,Ⅲ,6.5,7.67,12.81,1016.3,15.99,5.7,0.1,0.058,3.873,--,--,正常
浙江省,浙闽片河流,街口(鸠坑口),01-12 08:00,--,11.67,7.25,8.43,166.19,14.44,1.304,--,0.016,1.236,--,--,维护
浙江省,太湖流域,斜路港,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,王江泾,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,新港口(新塘港),01-12 08:00,Ⅲ,2.04742,8.0988,13.6674,404.715,299.303,3.07303,0.07828,0.14064,5.35592,0.01776,--,正常
安徽省,巢湖流域,湖滨(老),01-12 08:00,--,4.80652,6.79731,13.27094,319.1488,163.0768,--,0.39,0.1034,3.006,0.02163,--,维护
安徽省,巢湖流域,裕溪口(老),01-12 08:00,Ⅳ,6.48135,7.7402,10.25778,262.4623,147.8397,2.76,0.13,0.0942,5.544,0.01431,--,正常
安徽省,淮河流域,蚌埠闸上(蚌埠闸),01-12 08:00,--,5.88,8.43,13.55,691.17,49.47,4.113,0.238,0.071,2.146,--,--,维护
安徽省,淮河流域,石头埠(老),01-12 08:00,Ⅲ,9.17607,7.61143,5.91978,275.8742,17.55534,4.57,0.31,--,--,--,--,正常
安徽省,淮河流域,小王桥,01-12 08:00,Ⅳ,4.1,8.36,27.77,1430.48,19.98,7.971,0.032,0.114,2.983,--,--,正常
