省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,淮河流域,八间房漫水桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,海河流域,古北口,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
天津市,海河流域,三岔口,01-25 08:00,Ⅱ,4.9,7.7398,10.728,754.3653,4.22,2.79,0.21,0.0004,1.4789,--,--,正常
天津市,海河流域,果河桥,01-25 08:00,Ⅱ,5.1,8.89,18.306,692.481,4.1,2.9375,0.23,0.0312,5.7628,--,--,正常
河北省,海河流域,岗南水库,01-25 08:00,--,7.69626,8.86529,12.53908,540.8712,1.40735,--,0.09,--,--,--,--,维护
河北省,海河流域,八号桥,01-25 08:00,Ⅲ,1.13117,8.50409,11.40197,1410.438,53.39358,5.21,0.21,0.145,13.21,--,--,正常
山西省,黄河流域,河津大桥,01-25 08:00,劣Ⅴ,8.3446,7.93591,11.21689,1797.157,60.50988,5.65,3.15,--,--,--,--,正常
山西省,黄河流域,万家寨水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,画匠营子,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,海勃湾,01-25 08:00,Ⅱ,2.19011,8.42693,10.68303,836.4279,20.63792,1.93,0.3,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,01-25 08:00,Ⅱ,5.2471,7.70199,10.19609,313.4225,5.68934,2.21518,0.04,0.01957,2.89888,0.00132,--,正常
辽宁省,辽河流域,江桥,01-25 08:00,Ⅱ,6.90156,6.72,9.21531,143.9998,2.5,1.01,0.03673,0.02868,1.77515,--,--,正常
辽宁省,辽河流域,辽河公园,01-25 08:00,Ⅴ,6.06712,8.60478,12.6088,10372.05,86.27685,7.15356,1.86823,0.12296,8.68212,--,--,正常
辽宁省,辽河流域,汤河水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,盘锦兴安(兴安),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,珠尔山,01-25 08:00,Ⅲ,1.87193,7.2768,10.90994,649.3041,10.43092,2.96142,0.72,0.06877,5.97751,--,--,正常
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,01-25 08:00,Ⅲ,3.21152,6.85577,13.49709,374.0701,35.70589,5.93456,0.20845,0.04269,1.51148,--,--,正常
吉林省,松花江流域,圈河,01-25 08:00,Ⅱ,10.49998,7.2,8.36008,334.5,15,3.92,0.22135,0.06141,2.61616,--,--,正常
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,01-25 08:00,Ⅲ,3.20322,7.19235,12.2311,349.3,17.4363,4.6459,0.33738,0.04932,3.1299,--,--,正常
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,01-25 08:00,Ⅳ,8.9,7.4,7.44,693,156.2,3.875,0.35225,0.06152,3.81158,0.00978,3176995,正常
江苏省,长江流域,林山,01-25 08:00,Ⅰ,11.0398,7.82227,10.752,372.243,35.9574,1.18,0.149,--,--,--,--,正常
江苏省,太湖流域,沙渚,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,小红圈,01-25 08:00,Ⅰ,5.99,8.27,20.88,558.4,9.7,1.58,0.05,--,--,--,--,正常
江苏省,淮河流域,李集桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,艾山西大桥,01-25 08:00,Ⅱ,5.91776,8.14045,14.6423,876.28,9.85871,3.07,0.09,0.02563,14.35102,--,--,正常
江苏省,太湖流域,兰山嘴(老),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,太湖流域,西山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,大兴桥,01-25 08:00,Ⅲ,5.2,7.37,10.4,966.3,91.59,4.68,0.367,--,--,--,--,正常
江苏省,淮河流域,淮河大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,长江流域,三江营,01-25 08:00,Ⅱ,9.51,8.05,10.71,360.97,33,1.499,0.116,0.083,1.97,--,--,正常
江苏省,淮河流域,大屈,01-25 08:00,Ⅲ,7.6,8.07,12.02,911.6,23.11,5.44,0.14,0.056,3.025,--,--,正常
浙江省,浙闽片河流,街口(鸠坑口),01-25 08:00,--,12.42,7.31,9.06,147.29,15.37,1.147,--,0.031,0.897,--,--,维护
浙江省,太湖流域,斜路港,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,王江泾,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,新港口(新塘港),01-25 08:00,--,8.02344,8.15401,11.1403,439.454,150.461,--,0.00046,0.09191,3.39971,0.0329,--,维护
安徽省,巢湖流域,湖滨(老),01-25 08:00,Ⅲ,8.32327,6.82202,12.19436,274.7289,21.27745,3.78,0.28,0.0267,1.675,0.01132,--,正常
安徽省,巢湖流域,裕溪口(老),01-25 08:00,Ⅳ,9.66733,7.62842,10.02379,299.4057,43.51037,2,0.21,0.066,2.651,0.01412,--,正常
安徽省,淮河流域,蚌埠闸上(蚌埠闸),01-25 08:00,Ⅲ,9,8.41,12.67,702.39,54.69,4.115,0.201,0.062,2.395,--,--,正常
安徽省,淮河流域,石头埠(老),01-25 08:00,Ⅱ,7.11451,8.12063,7.3029,533.6572,13.55351,3.08,0.27,--,--,--,--,正常
安徽省,淮河流域,小王桥,01-25 08:00,Ⅳ,5.58,8.36,12.75,3098.45,25.59,7.539,0.035,0.128,2.247,--,--,正常
安徽省,长江流域,皖河口,01-25 08:00,Ⅱ,11.39,7.716,9.04,310.89,47.79,1.096,0.014,0.0654,2.075,--,--,正常
安徽省,淮河流域,小柳巷,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,张大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
安徽省,淮河流域,王家坝,01-25 08:00,Ⅲ,6.18008,8.23557,14.59155,274.9778,11.68398,5.17,0.485,0.06463,2.30765,--,--,正常
安徽省,淮河流域,界首七渡口(七渡口),01-25 08:00,Ⅱ,6.50552,6.59409,9.82298,831.4614,15.39341,3.93,0.08,0.09182,5.32358,--,--,正常
安徽省,淮河流域,许庄(徐庄),01-25 08:00,--,5.9,7.49,10.99,1088.2,3.24,3.35,--,0.025,4.127,--,--,维护
安徽省,淮河流域,杨庄,01-25 08:00,Ⅳ,8.68,7.86,9.79,1028.4,105.67,5.54,1.254,--,--,--,--,正常
安徽省,淮河流域,泗县公路桥,01-25 08:00,Ⅲ,6.5,8.1,11.46,954.8,32.71,4.38,0.09,--,--,--,--,正常
安徽省,淮河流域,颜集,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
福建省,浙闽片河流,白岩潭,01-25 08:00,Ⅲ,15.06,7.29,8.18,5811.4,346.14,4.65,0.275,--,--,--,--,正常
江西省,长江流域,滁槎,01-25 04:00,Ⅱ,10.37779,7.11574,9.70501,184.4576,46.25163,1.48,0.4,0.09625,1.80734,--,--,正常
