省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,淮河流域,八间房漫水桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,海河流域,古北口,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
天津市,海河流域,三岔口,01-28 08:00,Ⅱ,5.15,7.7638,10.877,772.6691,4.418,2.93,0.23,0.0087,1.4449,--,--,正常
天津市,海河流域,果河桥,01-28 08:00,Ⅱ,5.2,8.73,18.697,676.233,8.5,2.9029,0.2,0.0475,6.5344,--,--,正常
河北省,海河流域,岗南水库,01-28 08:00,--,7.54915,8.8796,12.52894,560.4724,2.3234,--,0.03,--,--,--,--,维护
河北省,海河流域,八号桥,01-28 08:00,Ⅲ,1.66269,8.37813,11.45834,1523.022,62.11276,4.15,0.97,0.15,11.955,--,--,正常
山西省,黄河流域,河津大桥,01-28 08:00,Ⅴ,8.01334,7.92816,11.47933,1719.743,87.86337,5.25,1.85,--,--,--,--,正常
山西省,黄河流域,万家寨水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,画匠营子,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,海勃湾,01-28 08:00,Ⅱ,2.12143,8.53297,10.68562,846.6118,18.65633,1.68,0.34,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,01-28 04:00,Ⅱ,5.59008,7.69433,9.99291,312.855,6.02135,1.82807,0.08,0.02218,2.88783,0.0013,--,正常
辽宁省,辽河流域,江桥,01-28 08:00,Ⅱ,7.45,6.79,10.09484,104,3,1.55,0.03845,0.02681,1.75825,--,--,正常
辽宁省,辽河流域,辽河公园,01-28 08:00,Ⅴ,4.63869,7.46927,13.00251,8934.738,80.04988,7.3814,1.9073,0.13606,8.80098,--,--,正常
辽宁省,辽河流域,汤河水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,盘锦兴安(兴安),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,珠尔山,01-28 08:00,Ⅳ,1.1588,7.26155,11.2795,637.9916,12.43663,2.67203,1.32,0.06583,7.16589,--,--,正常
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,01-28 08:00,Ⅲ,3.18005,6.7747,13.45347,372.738,25.25555,5.87841,0.13335,0.04112,1.50212,--,--,正常
吉林省,松花江流域,圈河,01-28 08:00,Ⅱ,10.2,7.2125,8.49,344,6.51587,3.85,0.20626,0.06172,2.77771,--,--,正常
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,01-28 08:00,Ⅲ,3.33521,7.23943,12.4514,341.899,15.4563,4.55835,0.32914,0.05127,3.26738,--,--,正常
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,01-28 08:00,Ⅳ,9.2,7.31,6.14,673,224.3,4,0.29366,0.06885,3.42285,0.00541,3986170,正常
江苏省,长江流域,林山,01-28 08:00,Ⅱ,10.9542,7.92706,10.4515,374.863,28.0748,1.34,0.169,--,--,--,--,正常
江苏省,太湖流域,沙渚,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,小红圈,01-28 08:00,Ⅱ,7.36,8.24,19.9,528.4,7.46,2.32,0.038,--,--,--,--,正常
江苏省,淮河流域,李集桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,艾山西大桥,01-28 08:00,Ⅱ,6.46545,7.97606,13.2545,902.876,12.1829,3.42,0.06,0.0287,12.27973,--,--,正常
江苏省,太湖流域,兰山嘴(老),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,太湖流域,西山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,大兴桥,01-28 08:00,Ⅲ,5.7,7.43,11.57,936.4,55.31,5.56,0.308,--,--,--,--,正常
江苏省,淮河流域,淮河大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,长江流域,三江营,01-28 08:00,Ⅱ,10.18,8.04,10.64,365.97,49.83,1.76,0.128,0.098,2.041,--,--,正常
江苏省,淮河流域,大屈,01-28 08:00,Ⅲ,7.9,8.01,11.67,910.9,6.91,5.18,0.16,0.059,2.891,--,--,正常
浙江省,浙闽片河流,街口(鸠坑口),01-28 08:00,--,12.33,7.28,8.84,147.76,15.57,0.962,--,0.027,0.942,--,--,维护
浙江省,太湖流域,斜路港,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,王江泾,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,新港口(新塘港),01-28 08:00,Ⅱ,8.23117,8.14652,11.1782,411.862,140.693,3.17447,0.12543,0.07925,6.22263,0.04398,--,正常
安徽省,巢湖流域,湖滨(老),01-28 08:00,Ⅳ,8.72145,6.84992,12.14165,284.3007,134.2314,5.49,0.3,0.0784,2.095,0.00551,--,正常
安徽省,巢湖流域,裕溪口(老),01-28 08:00,Ⅳ,9.52724,7.60362,10.02667,307.7083,55.60318,1.22,0.2,0.0644,2.455,0.01474,--,正常
安徽省,淮河流域,蚌埠闸上(蚌埠闸),01-28 08:00,Ⅱ,8.99,8.31,12.8,621.69,58.48,3.402,0.242,0.067,2.542,--,--,正常
安徽省,淮河流域,石头埠(老),01-28 08:00,Ⅱ,7.19366,6.41908,6.12139,599.8112,24.25872,3.69,0.29,--,--,--,--,正常
安徽省,淮河流域,小王桥,01-28 08:00,Ⅳ,5.74,8.33,11.84,--,23.9,7.288,0.042,0.126,2.131,--,--,维护
安徽省,长江流域,皖河口,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
安徽省,淮河流域,小柳巷,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,张大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
安徽省,淮河流域,王家坝,01-28 08:00,Ⅲ,6.48,8.1812,15.0828,320.8842,16.92407,5.89,0.437,0.06882,1.54702,--,--,正常
安徽省,淮河流域,界首七渡口(七渡口),01-28 08:00,Ⅱ,6.31322,7.91165,8.22716,701.2776,15.1371,3.78,0.05,0.09114,5.4346,--,--,正常
安徽省,淮河流域,许庄(徐庄),01-28 04:00,Ⅱ,5.5,7.38,10.03,1093,7.39,2.72,0.16,0.027,4.1,--,--,正常
安徽省,淮河流域,杨庄,01-28 08:00,Ⅳ,8.52,7.89,9.66,1056.8,81.78,5.91,1.348,--,--,--,--,正常
安徽省,淮河流域,泗县公路桥,01-28 08:00,Ⅱ,6.8,8.07,11.91,952.8,23.94,3.8,0.09,--,--,--,--,正常
安徽省,淮河流域,颜集,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
福建省,浙闽片河流,白岩潭,01-28 08:00,Ⅱ,15.93,7.37,8.26,2285.3,224.63,3.23,0.264,--,--,--,--,正常
江西省,长江流域,滁槎,01-28 08:00,Ⅱ,10.41214,7.02194,10.51676,108.4724,42.72819,1.65,0.41,0.07,1.61731,--,--,正常
