省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,海河流域,古北口,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
天津市,海河流域,三岔口,01-01 08:00,Ⅰ,2.7326,8.2608,12.781,504.8984,5.893,1.27,0.15,0.0032,1.8641,--,--,正常
天津市,海河流域,果河桥,01-01 08:00,劣Ⅴ,5.8,9.03,18.987,654.247,4.5,3.1598,0.24,0.0285,4.6665,--,--,正常
河北省,海河流域,岗南水库,01-01 08:00,Ⅱ,9.45331,8.74829,11.5032,482.5751,2.80199,2.28056,0.06,0.0167,2.49859,--,--,正常
河北省,海河流域,八号桥,01-01 08:00,Ⅲ,1.18056,8.57537,12.04807,1243.936,20.00755,3.22,0.53,0.0765,5.53,--,--,正常
山西省,黄河流域,河津大桥,01-01 08:00,Ⅳ,5.79767,8.3514,11.97554,1975.132,40.59219,6.225,1.45,--,--,--,--,正常
山西省,黄河流域,万家寨水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,画匠营子,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,海勃湾,01-01 08:00,Ⅱ,3.95338,8.38347,10.16121,867.533,26.32115,1.49,0.19,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,01-01 08:00,Ⅱ,4.86861,7.78994,10.66084,299.6797,9.51302,2.49712,0.12,0.02126,2.95005,0.00079,--,正常
辽宁省,辽河流域,江桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,辽河公园,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,汤河水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,盘锦兴安(兴安),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,珠尔山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,01-01 08:00,Ⅳ,3.07123,7.13143,12.87024,402.1006,29.65794,6.74957,0.22548,0.06507,1.69381,--,--,正常
吉林省,松花江流域,圈河,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,01-01 08:00,Ⅲ,2.85797,7.40626,11.56252,386.7193,18.12553,5.4551,0.32136,0.05176,3.87192,--,--,正常
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,长江流域,林山,01-01 08:00,Ⅰ,8.3837,8.40151,10.0568,373.917,43.7033,1.61,0.12,--,--,--,--,正常
江苏省,太湖流域,沙渚,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
江苏省,淮河流域,小红圈,01-01 08:00,Ⅱ,4.11,8.29,16.9,632.7,2.45,2.29,0.067,--,--,--,--,正常
江苏省,淮河流域,李集桥,01-01 08:00,Ⅲ,4.45,7.97,10.02,1227.3,19.91,4.96,0.386,0.036,3.34,--,--,正常
江苏省,淮河流域,艾山西大桥,01-01 08:00,Ⅱ,1.28174,8.5947,15.2382,895.658,5.24252,3.43,0.11,0.0298,14.49667,--,--,正常
江苏省,太湖流域,兰山嘴(老),--,--,--,--,--,--,--,--,--,--,--,--,--,维护
江苏省,太湖流域,西山,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
江苏省,淮河流域,大兴桥,01-01 08:00,Ⅲ,2.5,7.46,14.35,1048,32.19,5.53,0.403,--,--,--,--,正常
江苏省,淮河流域,淮河大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
江苏省,长江流域,三江营,01-01 08:00,Ⅱ,9.58,7.98,10.68,363.66,51.18,1.762,0.076,0.074,2.13,--,--,正常
江苏省,淮河流域,大屈,01-01 08:00,Ⅲ,6.1,7.63,11.43,1083.8,29.55,5.92,0.09,0.066,4.027,--,--,正常
浙江省,浙闽片河流,街口(鸠坑口),01-01 08:00,--,12.7,7.1,8.33,164.78,14.58,1.044,0.001,0.02,1.851,--,--,维护
浙江省,太湖流域,斜路港,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
浙江省,太湖流域,王江泾,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
浙江省,太湖流域,新港口(新塘港),01-01 08:00,Ⅲ,4.02832,8.02024,12.7795,439.817,167.719,2.53615,0.29801,0.11714,4.07874,0.01213,--,正常
安徽省,巢湖流域,湖滨(老),01-01 08:00,Ⅳ,5.51509,6.83955,12.43947,319.9355,91.98631,4.95,0.41,0.0899,2.673,0.01977,--,正常
安徽省,巢湖流域,裕溪口(老),01-01 08:00,Ⅴ,6.92963,7.74959,10.16569,257.9565,121.4822,1.82,0.06,0.1075,4.209,0.01591,--,正常
安徽省,淮河流域,蚌埠闸上(蚌埠闸),01-01 08:00,--,6.51,8.16,13.02,529.42,46.34,--,0.285,0.066,2.044,--,--,维护
安徽省,淮河流域,石头埠(老),01-01 08:00,--,4.46482,7.75657,8.09282,340.2321,21.45009,--,0.36,--,--,--,--,维护
安徽省,淮河流域,小王桥,01-01 08:00,Ⅳ,4.13,8.29,11.64,1746.17,21.11,7.301,0.137,0.099,3.359,--,--,正常
安徽省,长江流域,皖河口,01-01 08:00,Ⅱ,10.46,7.608,9.21,307.16,32.95,1.483,0.087,0.0693,2.214,--,--,正常
安徽省,淮河流域,小柳巷,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
安徽省,淮河流域,张大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,王家坝,01-01 08:00,Ⅲ,4.89,7.50544,12.37648,398.5327,17.00034,4.08,0.444,0.07073,2.39416,--,--,正常
安徽省,淮河流域,界首七渡口(七渡口),01-01 08:00,--,6.03971,6.6583,--,979.6288,9.54528,4.24,0.88,0.09901,6.01543,--,--,维护
安徽省,淮河流域,许庄(徐庄),01-01 08:00,Ⅲ,1.9,8.05,12.71,1069.1,101.63,4.81,0.01,0.049,3.204,--,--,正常
安徽省,淮河流域,杨庄,01-01 08:00,Ⅳ,4.98,8.02,11.46,987.6,96.38,3.71,1.038,--,--,--,--,正常
安徽省,淮河流域,泗县公路桥,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
安徽省,淮河流域,颜集,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
福建省,浙闽片河流,白岩潭,01-01 08:00,--,15.96,7.4,7.66,--,95.69,--,0.3,--,--,--,--,维护
江西省,长江流域,滁槎,01-01 08:00,Ⅱ,10.1851,7.16503,8.50887,160.4549,81.42387,3.52,0.3,0.09675,1.1875,--,--,正常
江西省,长江流域,姚港(河西水厂),01-01 08:00,Ⅱ,10.55,7.6,11.64,371.36,36.73,1.543,0.083,0.099,2.08,--,--,正常
