省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,09-12 08:00,Ⅲ,21.46539,8.27977,8.24795,1367.702,21.1873,5.625,0.21,0.04685,0.95363,--,--,正常
北京市,海河流域,古北口,09-12 08:00,--,19.90944,7.17879,7.85587,683.9565,2.49364,--,0.21,0.0021,5.6475,--,--,维护
天津市,海河流域,三岔口,09-12 08:00,Ⅲ,24.7452,7.5319,5.595,470.2594,25.659,3.15,0.19,0.0109,0.5575,--,--,正常
天津市,海河流域,果河桥,09-12 08:00,Ⅱ,25.1,7.966,7.145,593.783,6.458,2.6764,0.34,0.0635,6.4541,--,--,正常
河北省,海河流域,岗南水库,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
河北省,海河流域,八号桥,09-12 08:00,Ⅲ,20.33349,7.76829,7.08094,1103.156,53.05527,4.87,0.19,0.142,3.49,--,--,正常
山西省,黄河流域,河津大桥,09-12 08:00,Ⅲ,25.94489,7.46626,7.2791,1506.611,126.4662,5.45,0.02,--,--,--,--,正常
山西省,黄河流域,万家寨水库,09-12 08:00,劣Ⅴ,21.04742,7.92389,7.61126,572.8829,585.316,3.94,0.3,0.623,1,--,--,正常
内蒙古自治区,黄河流域,画匠营子,09-12 08:00,Ⅱ,20.20671,7.78849,7.27498,684.326,1474.651,3.63165,0.02688,--,--,--,--,正常
内蒙古自治区,黄河流域,海勃湾,09-12 08:00,Ⅱ,19.31839,7.839,6.44301,616.725,164.0129,3.07,0.36,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,09-12 08:00,Ⅱ,22.33736,7.16776,7.92171,294.755,21.15228,2.08891,0.17,0.00521,2.29664,--,--,维护
辽宁省,辽河流域,江桥,09-12 08:00,Ⅲ,21.4,6.69,5.43,135,0.39844,0.77,0.001,0.02497,2.35293,--,--,正常
辽宁省,辽河流域,辽河公园,09-12 08:00,Ⅳ,21.71116,6.95846,5.00461,422.2375,93.70653,6.48277,0.34116,0.1082,2.58366,--,--,正常
辽宁省,辽河流域,汤河水库,09-12 04:00,--,18.5,7.51,0.71,469.9854,33.49249,0.95,0.02405,--,1.85459,--,--,维护
辽宁省,辽河流域,盘锦兴安(兴安),09-12 08:00,劣Ⅴ,22.01061,7.36214,6.02209,471.8302,1061.243,3.86807,0.1,0.58894,2.54422,--,--,正常
辽宁省,辽河流域,珠尔山,09-12 08:00,Ⅳ,19.84549,7.2717,10.00587,328.9219,281.3009,7.10153,0.22,0.24716,4.63158,--,--,正常
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,圈河,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,09-12 08:00,Ⅳ,27,7.21,3.2,516,87.1,3.90625,0.40526,0.08008,2.68752,0.00429,9668276,正常
江苏省,长江流域,林山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,太湖流域,沙渚,09-12 08:00,Ⅴ,25.82256,8.114783,6.14672,417.826,86.81499,7.59,0.23,0.3091,0.2828,--,--,正常
江苏省,淮河流域,小红圈,09-12 08:00,--,23.95,7.23,8.45,1030.6,7.91,2.4,0.08,--,--,--,--,维护
江苏省,淮河流域,李集桥,09-12 08:00,Ⅲ,27.06,7.75,6.3,1017.4,7.29,5.53,0.25,0.183,1.473,--,--,正常
江苏省,淮河流域,艾山西大桥,09-12 08:00,Ⅲ,24.5547,8.04472,8.01457,913.55,11.565,2.71,0.19,0.15561,13.12113,--,--,正常
江苏省,太湖流域,兰山嘴(老),09-12 08:00,Ⅴ,26.56939,7.24119,2.84446,330.8928,52.09139,3.77,0.83,0.21336,1.81963,--,--,正常
江苏省,太湖流域,西山,09-12 08:00,Ⅳ,26.13426,6.96901,6.61778,332.7333,212.4507,2.36,0.11,0.0667,0.4378,--,--,正常
江苏省,淮河流域,大兴桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,淮河大桥,09-12 08:00,Ⅳ,28.20676,8.16238,5.89884,393.7961,75.39706,6.04,0.2,0.0814,2.947,--,--,正常
江苏省,长江流域,三江营,09-12 08:00,Ⅲ,28.17,7.82,5.76,290.92,69.48,1.521,0.092,0.084,1.71,--,--,正常
江苏省,淮河流域,大屈,09-12 08:00,Ⅳ,25.9,7.69,6.62,735.3,39.52,4.58,0.17,0.235,1.473,--,--,正常
浙江省,浙闽片河流,街口(鸠坑口),09-12 08:00,Ⅰ,25.79,7.37,8.22,164.65,36.02,1.475,0.004,0.015,0.806,--,--,正常
浙江省,太湖流域,斜路港,09-12 08:00,Ⅴ,28,7.23,2.41,493,68.9,5.16,0.13522,0.0798,0.87587,--,--,正常
浙江省,太湖流域,王江泾,09-12 08:00,Ⅳ,28.23,7.17,4.69,574.53,43.53,4.494,0.398,0.08,1.535,--,--,正常
浙江省,太湖流域,新港口(新塘港),09-12 08:00,Ⅱ,26.227,7.48836,6.03898,322.398,45.3394,3.21044,0.35935,0.05128,4.44038,--,--,正常
安徽省,巢湖流域,湖滨(老),09-12 08:00,Ⅴ,28.66721,7.8021,8.03382,262.2684,103.7263,0.45,0.35,0.1185,0.7454,0.0327,--,正常
安徽省,巢湖流域,裕溪口(老),09-12 08:00,Ⅳ,27.07127,7.82001,6.27657,287.5312,98.68257,4.86,0.08,0.094,1.893,--,--,正常
安徽省,淮河流域,蚌埠闸上(蚌埠闸),09-12 08:00,Ⅳ,28.34,8.29,7.86,--,376.53,6.168,0.038,0.112,1.069,--,--,维护
安徽省,淮河流域,石头埠(老),09-12 08:00,Ⅳ,28.11207,7.03867,4.74491,299.4627,35.05532,8.70001,0.18,--,--,--,--,正常
安徽省,淮河流域,小王桥,09-12 08:00,劣Ⅴ,28.22,7.92,7.89,1151.81,16.39,8.176,0.041,0.405,1.307,--,--,正常
安徽省,长江流域,皖河口,09-12 04:00,--,26.96,7.373,6.12,290.95,20.49,2.048,0.094,--,--,--,--,维护
安徽省,淮河流域,小柳巷,09-12 08:00,Ⅲ,28.6,7.39,5.97,345.5,164.96,3.55,0.04,0.098,0.726,--,--,正常
安徽省,淮河流域,张大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,王家坝,09-12 08:00,Ⅳ,28.025,8.0211,5.28059,780.6611,28.42669,6.98,0.17,0.19791,1.41339,--,--,正常
安徽省,淮河流域,界首七渡口(七渡口),09-12 08:00,Ⅴ,27.94136,8.11995,2.68857,841.8258,18.49767,3.51,0.33,0.10757,2.438,--,--,正常
安徽省,淮河流域,许庄(徐庄),09-12 04:00,--,26.4,7.69,4.73,860,125.71,3.68,--,0.153,1.246,--,--,维护
安徽省,淮河流域,杨庄,09-12 08:00,Ⅱ,26.58,7.64,6.03,808,76.48,3.61,0.135,--,--,--,--,正常
安徽省,淮河流域,泗县公路桥,09-12 08:00,Ⅳ,27.74,8.26,8.53,921.7,52.66,7.54,0.068,--,--,--,--,正常
安徽省,淮河流域,颜集,09-12 08:00,Ⅴ,23.9,7.74,6.09,1707.5,391.17,7.06,0.28,0.334,2.77,--,--,正常
福建省,浙闽片河流,白岩潭,09-12 08:00,Ⅱ,29.89,6.73,6.91,210,50.41,0.43,0.46,--,--,--,--,正常
江西省,长江流域,滁槎,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
江西省,长江流域,姚港(河西水厂),09-12 08:00,Ⅲ,26.29,7.4,6.76,306.86,98.4,1.798,0.004,0.146,1.83,--,--,正常
江西省,长江流域,蛤蟆石,09-12 08:00,Ⅱ,28.89,6.89,6.42,109.16,9.57,2.37,0.014,0.0245,0.512,0.00639,--,维护
山东省,黄河流域,泺口,09-12 08:00,Ⅱ,22.2953,8.11241,7.07271,667.829,637.702,2.4,0.12062,0.02091,3.477,--,--,正常
山东省,淮河流域,台儿庄大桥,09-12 08:00,Ⅳ,27.46999,7.3842,4.37492,854.0809,25.78119,3.70281,0.05752,0.08633,1.85096,--,--,正常
山东省,淮河流域,清泉寺,09-12 08:00,Ⅳ,26.22021,7.84334,6.78464,645.6436,32.88935,8.25,0.51,--,--,--,--,正常
山东省,淮河流域,重坊桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
山东省,淮河流域,捷庄(涝沟桥),--,--,--,--,--,--,--,--,--,--,--,--,--,维护
山东省,海河流域,秤勾湾(秤钩湾),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
河南省,长江流域,陶岔,09-12 08:00,Ⅱ,27.37,8.29912,8.11242,296.3264,1.45783,2.2,0.01907,0.00938,0.56446,0.00563,85904.45,正常
河南省,淮河流域,黄口,09-12 08:00,Ⅲ,24.69688,7.45,7.07969,2094,107.5487,5.81,0.01158,0.1972,3.339,--,--,正常
河南省,淮河流域,蒋集,09-12 08:00,Ⅳ,27.825,7.28632,3.50906,214.252,202.2047,2.95,0.03091,--,--,--,--,正常
河南省,淮河流域,淮滨水文站(淮滨),09-12 08:00,Ⅲ,26.5,7.0825,6.12,251,135.2045,2.61162,0.02463,0.11208,1.22791,--,--,正常
河南省,淮河流域,沈丘闸,09-12 08:00,--,26.59996,7.22831,2.11069,896.7636,18.49611,3.735,--,--,--,--,--,维护
河南省,淮河流域,鹿邑付桥(鹿邑付桥闸),09-12 08:00,Ⅳ,26.17398,7.99328,7.63978,1419.308,8.89346,6.47,0.06,0.1641,1.62736,--,--,正常
河南省,淮河流域,新蔡班台(班台),09-12 08:00,Ⅴ,26.55703,7.31253,5.49013,764.1813,18.28252,3.89,0.07,0.31412,3.58095,--,--,正常
河南省,黄河流域,小浪底水库(小浪底),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
湖北省,长江流域,宗关,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
湖北省,长江流域,坝上中(胡家岭),09-12 08:00,Ⅱ,27.85,8.770521,9.347428,224.806,3.402486,2.68,0.057,0.017,1.1439,0.0549224,1.3975E+07,正常
