省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,09-05 08:00,劣Ⅴ,21.66139,8.35677,8.10553,1533.636,29.77886,6.205,2.26,0.05124,0.65723,--,--,正常
北京市,海河流域,古北口,09-05 08:00,--,20.37007,7.4502,7.91886,660.7304,3.50716,1.61667,0.22,--,5.7228,--,--,维护
天津市,海河流域,三岔口,09-05 08:00,Ⅱ,25.8207,7.6951,6.487,496.4775,23.75,2.94,0.14,0.0167,0.625,--,--,正常
天津市,海河流域,果河桥,09-05 08:00,Ⅱ,26.2,8.613,12.167,524.888,4.068,3.5911,0.18,0.0607,6.8191,--,--,正常
河北省,海河流域,岗南水库,09-05 08:00,--,25.57115,8.25535,7.89864,575.9719,2.06316,2.44169,0.04,--,3.15935,--,--,维护
河北省,海河流域,八号桥,09-05 08:00,Ⅲ,20.92207,7.83635,7.18886,1014.83,40.09171,4.72,0.18,0.155,2.995,--,--,正常
山西省,黄河流域,河津大桥,09-05 08:00,Ⅲ,26.2849,8.13574,7.30455,1248.073,129.7061,4.35,0.13,--,--,--,--,正常
山西省,黄河流域,万家寨水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,画匠营子,09-05 08:00,Ⅱ,20.71669,7.64541,7.23496,669.8439,1505.203,3.51721,0.02958,--,--,--,--,正常
内蒙古自治区,黄河流域,海勃湾,09-05 08:00,Ⅲ,20.03798,7.54034,6.47857,494.4188,560.7491,4.98,0.13,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,09-05 08:00,--,23.86229,7.18772,7.58255,307.6042,28.12514,1.88312,--,0.02719,2.18001,--,--,维护
辽宁省,辽河流域,江桥,09-05 08:00,Ⅱ,18.9,6.81,7.47,134,6.83611,1.06,0.03231,0.02598,2.4666,--,--,正常
辽宁省,辽河流域,辽河公园,09-05 08:00,Ⅳ,25.47771,7.10884,4.43647,968.8632,71.76776,5.2759,0.10357,0.17507,3.88541,--,--,正常
辽宁省,辽河流域,汤河水库,09-05 04:00,--,17.6,7.59,--,469.7462,--,1.84,0.002,--,1.25482,--,--,维护
辽宁省,辽河流域,盘锦兴安(兴安),09-05 08:00,Ⅳ,23.00864,7.3346,8.52186,481.239,349.485,3.18127,0.12,0.26808,3.21194,--,--,正常
辽宁省,辽河流域,珠尔山,09-05 08:00,Ⅳ,20.64344,7.1999,9.09771,378.9642,123.5922,7.13572,0.23,0.25816,5.3286,--,--,正常
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,圈河,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,09-05 08:00,Ⅳ,19.51596,7.21876,7.06251,144.5315,222.0042,9.46975,0.18746,0.1543,2.48184,--,--,正常
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,09-05 08:00,Ⅳ,28.3,7.29,4.83,538,102.7,4.53125,0.1774,0.07275,1.96876,0.00448,1.002816E+07,正常
江苏省,长江流域,林山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,太湖流域,沙渚,09-05 08:00,Ⅳ,24.95883,7.846188,6.936515,436.2932,150.3016,7.02,0.1,0.1274,2.544,--,--,正常
江苏省,淮河流域,小红圈,09-05 08:00,--,24.5,7.43,7.56,1022.9,12.66,3.87,0.06,--,--,--,--,维护
江苏省,淮河流域,李集桥,09-05 08:00,Ⅲ,28.08,8.04,6.34,878.8,20.96,5.27,0.136,0.094,1.8,--,--,正常
江苏省,淮河流域,艾山西大桥,09-05 08:00,Ⅳ,24.8498,8.06401,6.95456,885.57,8.73157,2.78,0.18,0.22797,12.50432,--,--,正常
