省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,海河流域,古北口,05-17 08:05,--,17.40408,7.34664,9.23651,635.3204,5.08314,1.14992,0.21,--,4.8088,--,--,维护
天津市,海河流域,三岔口,05-17 08:00,Ⅱ,20.532,7.5759,7.433,278.8166,8.588,1.14,0.36,0.092,1.0226,--,--,正常
天津市,海河流域,果河桥,05-17 08:00,Ⅱ,14.9,8.313,9.865,601.663,6.052,2.1732,0.09,0.0354,3.4436,--,--,正常
河北省,海河流域,岗南水库,05-17 08:00,Ⅱ,21.38038,8.26273,9.68076,524.6564,2.50332,1.95961,0.01,0.02134,2.32769,--,--,正常
河北省,海河流域,八号桥,05-17 08:10,Ⅲ,16.78214,7.96234,7.87645,1344.408,70.34467,5.67,0.17,0.1125,3.18218,--,--,正常
山西省,黄河流域,河津大桥,05-17 08:00,Ⅳ,24.05262,7.50454,5.36236,1410.457,381.2099,9.475,0.05,--,--,--,--,正常
山西省,黄河流域,万家寨水库,05-17 08:00,Ⅲ,18.62048,8.31796,8.72524,828.5538,8.91162,4.13,0.3,0.0245,2.0125,--,--,正常
内蒙古自治区,黄河流域,画匠营子,05-17 08:00,Ⅱ,13.61046,7.85947,8.74832,849.2043,727.4839,3.76135,0.03955,--,--,--,--,正常
内蒙古自治区,黄河流域,海勃湾,05-17 08:05,Ⅱ,17.78863,7.87247,7.25402,712.0099,392.051,0.38,0.1,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
辽宁省,辽河流域,大伙房水库,05-17 08:00,Ⅱ,15.59365,7.2704,10.51962,307.3199,26.16321,2.38,0.06,0.01302,2.30619,0.0009,--,正常
辽宁省,辽河流域,江桥,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
辽宁省,辽河流域,辽河公园,05-17 08:05,Ⅳ,18.10441,7.1599,9.5185,10740.73,163.5656,6.23463,0.10994,0.22296,7.74963,--,--,正常
辽宁省,辽河流域,汤河水库,05-17 08:00,Ⅰ,13.3,8.21,8.23,522.0322,215.1576,1.93,0.01067,0,1.7968,--,--,正常
辽宁省,辽河流域,盘锦兴安(兴安),05-17 08:00,--,15.83854,7.0939,9.24392,564.5925,146.1057,2.64297,--,0.13195,3.56148,--,--,维护
辽宁省,辽河流域,珠尔山,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
吉林省,松花江流域,松花江村,05-17 08:05,Ⅱ,19.167,7.35308,9.26815,300.8445,22.46886,1.98216,0.17,0.01991,2.33721,--,--,正常
吉林省,松花江流域,白沙滩,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,圈河,05-17 08:00,Ⅱ,16.1,7.47,10.05004,114,105,3.16,0.22298,0.07653,1.75571,--,--,正常
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,05-17 08:00,Ⅳ,--,6.56776,9.45154,327.8211,273,6.7,0.32434,0.04313,0.9826,--,--,维护
黑龙江省,松花江流域,同江,05-17 04:00,--,13.9375,--,13.75002,203.1253,97.00015,5.36812,0.0499,0,10.33841,--,--,维护
黑龙江省,松花江流域,黑河下(黑河),05-17 08:05,--,11.29435,8.02503,8.98243,236.2776,21.31693,0,0.002,--,--,--,--,维护
上海市,长江流域,急水港桥,05-17 08:00,Ⅳ,24.8,7.04,4.23,683,69.4,3.95312,0.26213,0.05908,2.89064,0.01095,8138642,正常
江苏省,长江流域,林山,05-17 08:00,Ⅱ,23.8626,7.77086,6.56345,329.821,35.5015,1.28,0.053,--,--,--,--,正常
江苏省,太湖流域,沙渚,05-17 08:00,Ⅱ,26.76599,8.227616,6.61251,493.0148,62.11468,3.9,0.2,0.0681,0.8455,--,--,正常
江苏省,淮河流域,小红圈,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,李集桥,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
江苏省,淮河流域,艾山西大桥,05-17 08:00,Ⅲ,24.3006,8.70941,11.8164,666.404,5.07324,5.56,0.29,0.04436,2.13779,--,--,正常
江苏省,太湖流域,兰山嘴(老),05-17 08:00,Ⅲ,23.73528,7.10844,5.003,447.8654,29.87573,2.57,0.51,0.07073,2.32258,--,--,正常
江苏省,太湖流域,西山,05-17 08:00,Ⅲ,23.61253,7.989,6.95278,448.1207,74.9562,2.1,0.19,0.0397,0.9596,--,--,正常
江苏省,淮河流域,大兴桥,05-17 08:00,Ⅲ,24.2,8.06,8.86,1200.2,47.06,5.83,0.186,--,--,--,--,正常
江苏省,淮河流域,淮河大桥,05-17 08:00,Ⅱ,23.44518,8.16817,9.07678,608.6648,43.62891,3.6,0.29,0.07123,1.5175,--,--,正常
江苏省,长江流域,三江营,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,大屈,05-17 08:00,Ⅴ,24.1,8.03,7.39,869.2,39.83,6.44,1.59,0.006,0.705,--,--,正常
浙江省,浙闽片河流,街口(鸠坑口),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,斜路港,05-17 08:00,Ⅳ,25.5,7.23,3.58,631,129.4,5.05,0.0668,0.0679,1.79294,--,--,正常
浙江省,太湖流域,王江泾,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,新港口(新塘港),05-17 08:00,Ⅲ,23.1846,7.26031,5.59955,401.868,153.671,3.63951,0.18906,0.07349,3.45769,--,--,正常
安徽省,巢湖流域,湖滨(老),05-17 08:00,Ⅳ,26.55053,6.83794,4.08767,445.1716,84.39078,6.78,0.32,0.0641,1.601,0.04731,--,正常
安徽省,巢湖流域,裕溪口(老),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,蚌埠闸上(蚌埠闸),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,石头埠(老),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,小王桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,长江流域,皖河口,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,小柳巷,05-17 08:00,Ⅱ,22,8.8,8.43,681.1,77.75,3.23,0.03,0.049,2.346,--,--,正常
安徽省,淮河流域,张大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,王家坝,05-17 08:00,Ⅳ,23.7,7.39617,4.09844,505.5735,25.1408,4.06,0.316,0.00165,1.62002,--,--,正常
安徽省,淮河流域,界首七渡口(七渡口),05-17 08:00,Ⅲ,15.17516,7.69683,5.88442,964.6235,14.92239,3.37,0.15,0.09362,3.79542,--,--,正常
安徽省,淮河流域,许庄(徐庄),05-17 08:00,Ⅱ,22,7.46,6.84,1001.2,111.3,3.98,0.03,0.08,0.634,--,--,正常
安徽省,淮河流域,杨庄,05-17 08:03,Ⅳ,22.57,7.42,4.78,1105.2,81.61,4.99,0.603,--,--,--,--,正常
安徽省,淮河流域,泗县公路桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,颜集,05-17 04:00,Ⅲ,24.3,8.03,8.43,1600.3,194.54,4.13,0.06,0.188,0,--,--,正常
福建省,浙闽片河流,白岩潭,05-17 08:00,--,24.72,6.6,--,165.1,16.48,2.1,0.09,--,--,--,--,维护
江西省,长江流域,滁槎,05-17 08:00,Ⅳ,25.1774,6.90988,4.33995,191.1861,10.97188,2.1,0.28,0.074,2.52,--,--,正常
江西省,长江流域,姚港(河西水厂),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江西省,长江流域,蛤蟆石,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
山东省,黄河流域,泺口,05-17 08:00,Ⅱ,21.649,8.30294,8.20401,1045.9,874.619,2.89,0.1062,0.01652,4.249,--,--,正常
山东省,淮河流域,台儿庄大桥,05-17 08:00,Ⅱ,22.14501,7.81995,7.12959,720.2501,26.52394,3.76936,0.02948,0.05457,1.28435,--,--,正常
山东省,淮河流域,清泉寺,05-17 08:00,Ⅳ,22.4543,7.70922,5.79531,1285.505,13.22028,6.5,0.17,--,--,--,--,正常
山东省,淮河流域,重坊桥,05-17 08:00,Ⅲ,24.28429,7.22564,5.06379,858.1389,1.08981,3.5,0.09347,--,--,--,--,正常
山东省,淮河流域,捷庄(涝沟桥),05-17 08:00,Ⅲ,24.69998,7.28992,9.87452,1004,56.64917,5.27,0.0455,0.10911,2.84874,--,--,正常
山东省,海河流域,秤勾湾(秤钩湾),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
河南省,长江流域,陶岔,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
河南省,淮河流域,黄口,05-17 08:00,Ⅳ,23.6,8.03,3.815,5371.766,55.82213,4.33,0.32645,0.1054,2.45811,--,--,正常
河南省,淮河流域,蒋集,05-17 08:00,Ⅱ,26.24997,7.8435,6.83906,281.5,81.97107,0.53,0.06506,--,--,--,--,正常
河南省,淮河流域,淮滨水文站(淮滨),05-17 08:00,Ⅲ,22.6,7.38031,7.59032,335,58.92167,1.75,0.0362,0.11347,1.75649,--,--,正常
河南省,淮河流域,沈丘闸,05-17 08:00,Ⅲ,21.712,7.9315,8.61962,891.6,7.26914,4.445,0.14,--,--,--,--,正常
河南省,淮河流域,鹿邑付桥(鹿邑付桥闸),05-17 08:00,Ⅳ,23.33141,8.67476,11.06792,1441.657,3.93825,6.07,0.05,0.0688,0.73715,--,--,正常
河南省,淮河流域,新蔡班台(班台),05-17 04:00,Ⅳ,26.15569,7.09706,8.04879,1338.901,25.47839,4.205,0.21,0.21676,2.09182,--,--,正常
河南省,黄河流域,小浪底水库(小浪底),05-17 08:00,Ⅱ,14.62365,8.71765,8.34171,997.8803,4.21709,1.9025,0.12,0.022,3.6,--,--,正常
湖北省,长江流域,宗关,05-17 04:00,劣Ⅴ,21.15677,7.46485,8.75359,348.6744,25.74689,2.78,2.5,0.22225,2.17875,--,--,正常
湖北省,长江流域,坝上中(胡家岭),05-17 04:08,Ⅱ,21.40794,7.46355,8.92597,341.5922,1.36494,1.89,0.21,0.0151,1.203,0.00264,1.182554E+07,正常
湖北省,长江流域,南津关,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
湖南省,长江流域,新港,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
湖南省,长江流域,岳阳楼,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
湖南省,长江流域,城陵矶,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
广东省,珠江流域,七星岗,05-17 08:00,Ⅲ,24.02822,7.81159,5.91808,200.2257,9.33995,0.83,0.18105,0.01856,1.6137,--,--,正常
广东省,珠江流域,横栏,05-17 08:00,Ⅰ,25.8,7.85,7.69,295,54.9,1.36,0.12129,--,--,--,--,正常
广西壮族自治区,珠江流域,老口,05-17 08:00,Ⅱ,26.93629,7.5729,6.62788,290.254,8.09494,1.71817,0.0872,0.01991,1.58756,--,--,正常
广西壮族自治区,珠江流域,阳朔,05-17 08:00,劣Ⅴ,22.2,6.89,4.23435,139,572.3489,4.27,0.12703,0.44611,7.3776,--,--,正常
广西壮族自治区,珠江流域,界首,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
广西壮族自治区,珠江流域,石嘴,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
广西壮族自治区,珠江流域,平而关,05-17 04:00,Ⅱ,30.56673,8.09461,7.59234,240.9529,17.45584,1.79,0.21,--,--,--,--,正常
重庆市,长江流域,朱沱,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
四川省,长江流域,龙洞,05-17 08:00,Ⅰ,19.44014,8.15972,8.72141,712.9998,2.54342,0.9,0.05,0.00785,0.37609,--,--,正常
四川省,长江流域,沱江大桥(沱江二桥),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
四川省,长江流域,清风峡,05-17 08:00,Ⅲ,20.19998,8.02001,9.43805,310.1018,115.2047,4.33,0.02396,--,--,--,--,正常
四川省,长江流域,岷江大桥,05-17 08:00,Ⅱ,24.65791,7.61374,6.56231,493.0926,26.83947,3.7,0.26,--,--,--,--,正常
四川省,长江流域,凉姜沟,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
云南省,滇池流域,西苑隧道,05-17 08:02,Ⅴ,22.77416,7.24448,3.52602,624.6883,26.80429,10.79002,0.33,0.10018,1.92185,0.03128,7100010,正常
云南省,滇池流域,观音山,05-17 08:00,Ⅴ,22.38366,8.70003,8.23325,441.2168,29.45061,7.56,0.25,0.1075,1.431,0,7699825,正常
