省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,淮河流域,八间房漫水桥,03-12 08:00,Ⅲ,10.8,8.04,9.41,1096.1,5.18,4.089,0.025,0.048,4.05,--,--,正常
北京市,海河流域,古北口,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
天津市,海河流域,三岔口,03-12 08:00,--,9.37,7.9352,9.406,634.3731,15.309,2.26,--,0.0052,1.443,--,--,维护
天津市,海河流域,果河桥,03-12 08:00,Ⅱ,8.1,8.19,12.571,759.002,7.1,1.7181,0.25,0.0534,10.0958,--,--,正常
河北省,海河流域,岗南水库,03-12 08:00,Ⅱ,10.15815,8.76694,14.24753,522.9589,2.73207,2.2103,0.06,0.00749,2.64825,--,--,正常
河北省,海河流域,八号桥,03-12 08:00,Ⅲ,7.59485,8.34129,10.15085,1122.694,29.5643,4.83,0.49,0.132,7.165,--,--,正常
山西省,黄河流域,河津大桥,03-12 08:00,劣Ⅴ,14.77257,7.53638,6.42714,1623.658,119.9658,9.5,2.15,--,--,--,--,正常
山西省,黄河流域,万家寨水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,画匠营子,03-12 08:00,--,--,--,--,--,--,3.30205,0.07624,--,--,--,--,维护
内蒙古自治区,黄河流域,海勃湾,03-12 08:00,Ⅱ,11.71984,8.33986,9.08177,1202.869,17.93841,1.99,0.27,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,03-12 08:00,Ⅱ,5.93072,7.9843,10.9051,320.8084,8.68395,2.88166,0.14,0.01358,2.80875,0.02234,--,正常
辽宁省,辽河流域,江桥,03-12 08:00,Ⅰ,6.30001,6.35,12.01,151,5.87885,1.72,0.05753,0.01703,1.81087,--,--,正常
辽宁省,辽河流域,辽河公园,03-12 08:00,Ⅴ,6.14532,7.65568,10.96849,12018.97,189.8517,7.70926,1.67232,0.15006,7.13343,--,--,正常
辽宁省,辽河流域,汤河水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,盘锦兴安(兴安),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,珠尔山,03-12 08:00,Ⅲ,4.33186,7.74366,11.1641,533.3109,5.53348,2.39828,0.7,0.0796,7.5539,--,--,正常
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,03-12 08:00,Ⅲ,4.23732,6.73386,12.41829,292.618,23.17773,5.07495,0.11287,0.04267,1.45626,--,--,正常
吉林省,松花江流域,圈河,03-12 04:00,劣Ⅴ,7.6,7.08,11.96004,275,145.0802,2.59,1.76876,0.99671,10.7697,--,--,正常
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,03-12 08:00,Ⅲ,1.88239,7.41885,9.56923,338.499,12.8192,4.95814,0.30304,0.04492,3.79219,--,--,正常
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,03-12 08:00,Ⅳ,12,7.59,8.42,683,78.2,5.03125,0.39176,0.08092,3.30646,0.0074,2183957,正常
