省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,淮河流域,八间房漫水桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,海河流域,古北口,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
天津市,海河流域,三岔口,02-25 08:00,Ⅲ,6.02,8.159,10.504,954.246,28.645,4.79,0.57,0.0016,1.3765,--,--,正常
天津市,海河流域,果河桥,02-25 08:00,Ⅱ,6.2,8.08,13.432,776.295,5.4,2.0821,0.16,0.045,11.583,--,--,正常
河北省,海河流域,岗南水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
河北省,海河流域,八号桥,02-25 08:00,Ⅲ,2.80106,8.45706,13.74969,1113.856,28.18942,3.33,0.71,0.117,5.79,--,--,正常
山西省,黄河流域,河津大桥,02-25 08:00,Ⅴ,9.07397,7.90794,11.25476,1484.506,112.1994,10.5,0.67,--,--,--,--,正常
山西省,黄河流域,万家寨水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,画匠营子,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,海勃湾,02-25 08:00,Ⅱ,9.29588,7.91676,9.73023,973.5107,18.36535,1.68,0.23,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,02-25 08:00,Ⅱ,5.54377,7.63005,10.03039,322.6899,4.66978,2.42796,0.12,0.01565,2.90668,0.00287,--,正常
辽宁省,辽河流域,江桥,02-25 08:00,Ⅰ,5.35,6.48,12.15,144,11.99219,0.17,0.03559,0.01916,1.84595,--,--,正常
辽宁省,辽河流域,辽河公园,02-25 08:00,Ⅳ,4.92031,7.56947,9.83272,17623.55,69.57826,7.13271,1.33209,0.09745,6.35071,--,--,正常
辽宁省,辽河流域,汤河水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,盘锦兴安(兴安),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,珠尔山,02-25 08:00,Ⅴ,2.3329,7.46329,11.59086,560.2022,6.03613,2.73542,1.65,0.07981,9.12197,--,--,正常
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,02-25 08:00,Ⅲ,3.38371,6.70056,12.18779,332.694,19.84378,5.58401,0.18693,0.04823,1.55519,--,--,正常
吉林省,松花江流域,圈河,02-25 08:00,Ⅲ,8.39687,6.92,9.83,322.0313,4.99904,2.58,0.53899,0.04956,3.6939,--,--,正常
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,02-25 08:00,Ⅲ,3.371,7.37358,13.5784,334.238,11.753,4.30978,0.28473,0.0376,1.93511,--,--,正常
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,02-25 08:00,Ⅳ,13.2,7.81,8.88,653,58.7,3.5625,0.13579,0.07006,2.41925,0.00987,3325791,正常
江苏省,长江流域,林山,02-25 08:00,Ⅲ,13.5779,8.0413,8.85604,374.236,5.96002,1.59,0.928,--,--,--,--,正常
江苏省,太湖流域,沙渚,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,小红圈,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
江苏省,淮河流域,李集桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,艾山西大桥,02-25 08:00,Ⅳ,9.79477,8.28249,12.7374,843.6089,9.88532,6.99,0.45,0.05368,12.41289,--,--,正常
江苏省,太湖流域,兰山嘴(老),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,太湖流域,西山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,大兴桥,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
江苏省,淮河流域,淮河大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,长江流域,三江营,02-25 08:00,Ⅱ,12.66,8.03,10.08,357.35,32.21,1.83,0.061,0.076,2.048,--,--,正常
江苏省,淮河流域,大屈,02-25 08:00,Ⅲ,11.1,8.27,9.18,844.8,16.71,5.22,0.05,0.037,1.714,--,--,正常
浙江省,浙闽片河流,街口(鸠坑口),02-25 08:00,Ⅰ,14.25,7.78,10.28,137.64,6.94,1.049,0.012,0.013,0.761,--,--,正常
浙江省,太湖流域,斜路港,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,王江泾,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,新港口(新塘港),02-25 08:00,Ⅲ,13.5359,8.33475,9.53137,399.483,165.053,3.51666,0.15175,0.11829,19.1638,0.02496,--,正常
安徽省,巢湖流域,湖滨(老),02-25 04:00,Ⅳ,13.26463,6.94905,10.54065,351.0585,94.34557,4.21,0.48,0.0644,--,0.01667,--,维护
安徽省,巢湖流域,裕溪口(老),02-25 08:00,Ⅳ,13.32087,7.35988,6.19831,257.8952,79.01903,2.57,0.08,0.0796,3.968,0.03537,--,正常
安徽省,淮河流域,蚌埠闸上(蚌埠闸),02-25 08:00,Ⅱ,12.81,7.38,10.73,581.74,81.16,2.707,0.089,0.071,2.238,--,--,正常
安徽省,淮河流域,石头埠(老),02-25 08:00,Ⅲ,12.54063,7.03309,5.09794,508.7102,18.50927,4.5,0.23,--,--,--,--,正常
安徽省,淮河流域,小王桥,02-25 08:00,Ⅳ,10.24,8.07,7.55,1806.03,18.59,6.087,0.054,0.076,1.828,--,--,正常
安徽省,长江流域,皖河口,02-25 08:00,Ⅱ,14.51,7.948,9.69,335.58,79.52,1.68,0.035,0.083,2.48,--,--,正常
安徽省,淮河流域,小柳巷,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,张大桥,02-25 08:00,Ⅲ,10.6,8.37,11.71,2192.1,12.35,5.14,0.06,0.071,8.358,--,--,正常
安徽省,淮河流域,王家坝,02-25 08:00,Ⅱ,--,7.54504,9.89561,298.9224,16.09765,3.64,0.397,0.0631,2.08628,--,--,维护
安徽省,淮河流域,界首七渡口(七渡口),02-25 08:00,Ⅲ,11.21111,8.18506,8.91706,848.8959,16.53132,4.6,0.39,0.09235,6.03254,--,--,正常
安徽省,淮河流域,许庄(徐庄),02-25 08:00,Ⅱ,10.6,7.85,9.89,1025.4,11.13,3.47,0.01,0.03,2.356,--,--,正常
安徽省,淮河流域,杨庄,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
安徽省,淮河流域,泗县公路桥,02-25 08:00,Ⅱ,10.2,8.19,10.18,964.3,79.06,3.1,0.11,--,--,--,--,正常
安徽省,淮河流域,颜集,02-25 08:00,--,6.6,7.82,11.26,1886.5,54.17,4.82,0.37,--,--,--,--,维护
福建省,浙闽片河流,白岩潭,02-25 08:00,Ⅱ,16.95,7.26,12.21,1934.8,145,1.93,0.237,--,--,--,--,正常
江西省,长江流域,滁槎,02-25 08:00,Ⅱ,16.69835,6.97664,7.46743,200.9294,29.43653,2.71,0.3,0.03925,2.045,--,--,正常
