省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,淮河流域,八间房漫水桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,海河流域,古北口,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
天津市,海河流域,三岔口,02-28 08:00,Ⅲ,7.43,8.1178,10.518,962.627,37.826,4.66,0.61,0.0099,2.0182,--,--,正常
天津市,海河流域,果河桥,02-28 08:00,Ⅱ,6.9,8.23,13.765,754.014,9.1,2.4634,0.16,0.0467,9.8351,--,--,正常
河北省,海河流域,岗南水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
河北省,海河流域,八号桥,02-28 08:00,Ⅲ,5.47589,8.2512,10.55655,1072.894,29.01328,4.03,0.44,0.13,6.585,--,--,正常
山西省,黄河流域,河津大桥,02-28 08:00,劣Ⅴ,11.49022,8.17486,11.32462,1575.631,62.89173,8.025,5.26,--,--,--,--,正常
山西省,黄河流域,万家寨水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,画匠营子,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,海勃湾,02-28 08:00,Ⅱ,6.70791,8.36137,9.01464,1179.27,25.36886,1.69,0.23,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,02-28 08:00,Ⅱ,5.97932,7.64541,10.05461,313.479,11.28728,2.82875,0.22,0.01643,2.40501,0.00321,--,正常
辽宁省,辽河流域,江桥,02-28 08:00,Ⅱ,6.14998,6.505,11.46016,152.9998,16.01538,2.31,0.0405,0.01829,1.91671,--,--,正常
辽宁省,辽河流域,辽河公园,02-28 08:00,Ⅳ,5.07351,7.77125,11.99642,21312.63,162.8434,9.62824,0.80581,0.11922,5.29916,--,--,正常
辽宁省,辽河流域,汤河水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,盘锦兴安(兴安),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,珠尔山,02-28 08:00,Ⅳ,2.47798,7.47089,11.44757,606.1235,4.87563,2.64484,1.37,0.08325,8.88563,--,--,正常
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,02-28 04:00,--,11.80809,6.82084,11.36119,259.2143,0.78559,5.32167,0.17915,--,--,--,--,维护
吉林省,松花江流域,圈河,02-28 08:00,Ⅲ,8.5998,6.92,9.93002,315.9395,5,2.6,0.50659,0.05208,3.21981,--,--,正常
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,02-28 08:00,Ⅲ,3.56995,7.34858,13.298,331.85,12.1162,4.15856,0.21584,0.04102,1.67036,--,--,正常
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,02-28 08:00,Ⅳ,12.2,7.55,7.94,670,63.9,4.03125,0.55499,0.06753,3.68729,0.00662,2742299,正常
江苏省,长江流域,林山,02-28 08:00,--,12.5937,7.93551,8.56093,367.179,11.0718,1.67,--,--,--,--,--,维护
江苏省,太湖流域,沙渚,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,小红圈,02-28 08:00,Ⅱ,9.04,8.87,12.66,510.7,13.75,3.65,0.069,--,--,--,--,正常
江苏省,淮河流域,李集桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,艾山西大桥,02-28 08:00,Ⅳ,8.56125,8.54642,13.5317,804.383,6.35825,6.74,1.2,0.04879,7.9001,--,--,正常
江苏省,太湖流域,兰山嘴(老),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,太湖流域,西山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,大兴桥,02-28 08:00,Ⅲ,9.2,8.74,13.12,938.2,233.61,5.46,0.236,--,--,--,--,正常
江苏省,淮河流域,淮河大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,长江流域,三江营,02-28 08:00,Ⅱ,12.8,8.01,9.91,358.94,43.66,2.04,0.078,0.078,2.098,--,--,正常
江苏省,淮河流域,大屈,02-28 08:00,Ⅳ,10.1,8.4,10.56,922.6,9.45,5.1,0.05,0.289,2.157,--,--,正常
浙江省,浙闽片河流,街口(鸠坑口),02-28 08:00,--,14.59,7.44,9.38,144.31,5.7,0.783,0.039,0.021,0.969,--,--,维护
浙江省,太湖流域,斜路港,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,王江泾,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,新港口(新塘港),02-28 08:00,Ⅱ,12.1436,7.95523,9.61557,449.702,61.3029,2.6358,0.2369,0.06302,7.22362,0.03297,--,正常
安徽省,巢湖流域,湖滨(老),02-28 08:00,Ⅳ,11.07318,6.79536,10.16805,320.446,57.17159,3.51,0.17,0.0624,1.627,0.00571,--,正常
安徽省,巢湖流域,裕溪口(老),02-28 08:00,Ⅳ,12.64847,7.37911,7.08607,270.524,150.9477,2.65,0.08,0.082,4.427,0.01296,--,正常
安徽省,淮河流域,蚌埠闸上(蚌埠闸),02-28 08:00,Ⅱ,11.96,7.38,11,571.97,82.95,3.17,0.083,0.067,2.233,--,--,正常
安徽省,淮河流域,石头埠(老),02-28 08:00,Ⅳ,11.85004,7.09162,4.93701,593.8948,16.59082,3.36,0.24,--,--,--,--,正常
安徽省,淮河流域,小王桥,02-28 08:00,Ⅲ,9.94,8.09,7.28,1736.22,16.23,5.492,0.054,0.064,1.708,--,--,正常
安徽省,长江流域,皖河口,02-28 08:00,Ⅱ,14.02,7.922,9.29,339.39,33.83,1.536,0.015,0.0772,1.933,--,--,正常
安徽省,淮河流域,小柳巷,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,张大桥,02-28 08:00,Ⅲ,11.4,7.96,8.52,2115,3.39,4.83,0.05,0.059,9.898,--,--,正常
安徽省,淮河流域,王家坝,02-28 08:00,Ⅱ,13.62902,7.61229,8.66782,422.8032,12.88337,3.64,0.466,0.07394,2.16517,--,--,正常
安徽省,淮河流域,界首七渡口(七渡口),02-28 08:00,Ⅲ,10.80591,8.22551,8.39311,859.8477,13.91852,4.28,0.34,0.07781,6.08344,--,--,正常
安徽省,淮河流域,许庄(徐庄),02-28 08:00,--,10.1,7.8,9.39,1019.2,29.44,2.31,--,0.036,2.169,--,--,维护
安徽省,淮河流域,杨庄,02-28 08:00,Ⅳ,10.99,7.29,9.75,1046.4,66.79,5.35,1.485,--,--,--,--,正常
安徽省,淮河流域,泗县公路桥,02-28 08:00,Ⅳ,9.9,8.12,10.52,960.7,30.7,7.54,0.08,--,--,--,--,正常
安徽省,淮河流域,颜集,02-28 08:00,Ⅲ,9.8,7.75,8.39,1643.8,136.81,3.91,0.65,0.121,3.941,--,--,正常
福建省,浙闽片河流,白岩潭,02-28 08:00,Ⅱ,16.9,7.25,12.24,1284.7,164.67,1.93,0.238,--,--,--,--,正常
