省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,淮河流域,八间房漫水桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,海河流域,古北口,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
天津市,海河流域,三岔口,02-17 08:00,Ⅱ,5.29,8.0131,10.517,1024.556,13.81,1.4,0.2,0.0086,1.4144,--,--,正常
天津市,海河流域,果河桥,02-17 08:00,Ⅱ,5.1,8.25,15.581,745.675,12.4,2.0839,0.19,0.0435,10.6766,--,--,正常
河北省,海河流域,岗南水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
河北省,海河流域,八号桥,02-17 08:00,Ⅲ,4.51918,8.438,13.71321,1300.022,18.37432,3.46,0.68,0.086,5.105,--,--,正常
山西省,黄河流域,河津大桥,02-17 08:00,Ⅲ,10.62138,8.00037,9.83799,1536.036,49.56677,4.575,0.61,--,--,--,--,正常
山西省,黄河流域,万家寨水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,画匠营子,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,海勃湾,02-17 08:00,Ⅱ,3.18033,8.43867,10.08837,878.6063,17.67868,1.42,0.19,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,02-17 08:00,Ⅱ,5.48516,7.6208,9.94223,321.2722,6.22092,2.96836,0.09,0.0176,2.9147,0.00135,--,正常
辽宁省,辽河流域,江桥,02-17 04:00,Ⅱ,5.1001,6.33999,11.99968,155,4,0.6,0.03282,0.02091,1.94539,--,--,正常
辽宁省,辽河流域,辽河公园,02-17 08:00,劣Ⅴ,5.18448,7.4877,7.28934,5747.255,191.1563,6.80306,2.43095,0.20377,10.65073,--,--,正常
辽宁省,辽河流域,汤河水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,盘锦兴安(兴安),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,珠尔山,02-17 08:00,Ⅳ,1.66755,7.36928,11.40339,645.5283,4.63752,2.07887,1.24,0.07612,8.74066,--,--,正常
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,02-17 08:00,Ⅳ,3.07148,7.03865,13.02298,426.2166,23.33482,6.81137,0.23969,0.03888,1.39712,--,--,正常
吉林省,松花江流域,圈河,02-17 08:00,Ⅱ,9.69375,7.17,8.39,323.0606,12,2.37,0.2594,0.04981,3.14217,--,--,正常
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,02-17 08:00,Ⅲ,3.49271,7.37212,13.0067,348.879,12.607,4.19032,0.30648,0.04077,1.89071,--,--,正常
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,02-17 08:00,Ⅳ,10.5,7.44,8.51,674,67.9,3.21875,0.271,0.06887,3.18957,0.0087,4732953,正常
江苏省,长江流域,林山,02-17 08:00,Ⅱ,11.8051,8.04447,10.5773,349.366,18.2481,1.25,0.186,--,--,--,--,正常
江苏省,太湖流域,沙渚,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,小红圈,02-17 08:00,Ⅱ,9.64,8.38,13.39,582.8,5.79,2.89,0.073,--,--,--,--,正常
江苏省,淮河流域,李集桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,艾山西大桥,02-17 08:00,Ⅲ,9.52457,8.25138,13.939,696.184,11.5391,4.55,0.09,0.03735,10.4581,--,--,正常
江苏省,太湖流域,兰山嘴(老),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,太湖流域,西山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,大兴桥,02-17 08:00,Ⅲ,9,8.47,12.09,1030.1,77.7,5.64,0.391,--,--,--,--,正常
江苏省,淮河流域,淮河大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,长江流域,三江营,02-17 08:00,--,11.37,8,10.26,370.96,51.25,--,--,0.089,--,--,--,维护
江苏省,淮河流域,大屈,02-17 08:00,Ⅲ,11.4,8.18,11.08,926.3,56.96,5.4,0.07,0.035,2.132,--,--,正常
浙江省,浙闽片河流,街口(鸠坑口),02-17 08:00,Ⅰ,13.44,8.29,10.45,153.9,7.1,1.24,0.003,0.017,0.814,--,--,正常
浙江省,太湖流域,斜路港,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,王江泾,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,新港口(新塘港),02-17 08:00,Ⅱ,11.4968,8.31151,10.7111,390.994,71.3552,2.84349,0.08835,0.04757,2.40787,0.02077,--,正常
安徽省,巢湖流域,湖滨(老),02-17 08:00,--,12.12152,6.68653,10.32274,335.5313,73.6293,3.87,0.53,--,3.994,0.02406,--,维护
安徽省,巢湖流域,裕溪口(老),02-17 08:00,Ⅳ,12.17546,7.47789,8.55157,252.7387,49.39686,2.6,0.08,0.0576,3.649,0.03981,--,正常
安徽省,淮河流域,蚌埠闸上(蚌埠闸),02-17 08:00,Ⅱ,11.94,7.32,11.08,550.08,68.81,3.293,0.119,0.064,2.234,--,--,正常
安徽省,淮河流域,石头埠(老),02-17 08:00,--,9.7461,--,5.38088,475.3443,7.437,3,0.17,--,--,--,--,维护
安徽省,淮河流域,小王桥,02-17 08:00,Ⅲ,9.37,8.16,10.79,1752.85,16.95,5.948,0.029,0.073,1.123,--,--,正常
安徽省,长江流域,皖河口,02-17 08:00,Ⅱ,13.27,7.733,9.33,344.46,48.09,1.224,0.026,0.0641,2.065,--,--,正常
安徽省,淮河流域,小柳巷,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,张大桥,02-17 04:00,Ⅲ,12.7,7.92,12.69,2061.6,5.71,5.68,0.03,0.058,8.677,--,--,正常
安徽省,淮河流域,王家坝,02-17 08:00,Ⅲ,6.34015,7.4566,11.47499,320.821,13.15498,4.51,0.376,0.05871,1.85909,--,--,正常
安徽省,淮河流域,界首七渡口(七渡口),02-17 08:00,Ⅲ,9.84826,8.01863,8.24869,877.2411,16.80482,4.88,0.42,0.10332,7.07698,--,--,正常
安徽省,淮河流域,许庄(徐庄),02-17 04:00,--,11.7,7.73,9.75,1094,3.44,3.5,--,0.02,3.162,--,--,维护
安徽省,淮河流域,杨庄,02-17 08:00,Ⅲ,10.92,7.28,9.99,1063.9,81.29,5.66,0.568,--,--,--,--,正常
安徽省,淮河流域,泗县公路桥,02-17 08:00,Ⅱ,10.4,8.31,10.51,967.1,28.18,4,0.09,--,--,--,--,正常
安徽省,淮河流域,颜集,02-17 08:00,--,8.8,8.1,10.28,1665.5,137.65,3.98,0.44,--,--,--,--,维护
福建省,浙闽片河流,白岩潭,02-17 08:00,Ⅲ,16.43,7.41,7.02,3784.9,220.66,4.19,0.189,--,--,--,--,正常
江西省,长江流域,滁槎,02-17 08:00,Ⅱ,14.77885,6.90912,7.72471,205.4397,49.21687,2.44,0.4,0.07425,1.635,--,--,正常
