省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,淮河流域,八间房漫水桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,海河流域,古北口,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
天津市,海河流域,三岔口,02-22 08:00,Ⅲ,6.31,8.15,11.07,976.7701,19.823,3.95,0.56,0.0019,1.3974,--,--,正常
天津市,海河流域,果河桥,02-22 08:00,Ⅱ,5.9,8.16,14.153,712.561,5.6,2.2096,0.15,0.0469,11.0057,--,--,正常
河北省,海河流域,岗南水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
河北省,海河流域,八号桥,02-22 08:00,Ⅲ,6.16839,8.45591,12.91857,1184.02,32.92847,3.29,0.46,0.1275,4.555,--,--,正常
山西省,黄河流域,河津大桥,02-22 08:00,Ⅲ,12.23139,7.85289,11.54073,1479.358,48.59348,5.75,0.22,--,--,--,--,正常
山西省,黄河流域,万家寨水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,画匠营子,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,海勃湾,02-22 08:00,Ⅱ,8.00038,8.09938,10.12311,964.9623,18.17711,2.01,0.22,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,02-22 08:00,Ⅱ,5.45422,7.63403,10.10907,321.1569,6.76973,2.15855,0.13,0.01599,2.67394,0.00164,--,正常
辽宁省,辽河流域,江桥,02-22 08:00,Ⅱ,5.70039,6.49,11.87,147,13,0.54,0.04523,0.02112,1.86236,--,--,正常
辽宁省,辽河流域,辽河公园,02-22 08:00,劣Ⅴ,5.53847,7.53367,6.95969,1760.23,28.50306,4.48683,2.37335,0.09999,9.64752,--,--,正常
辽宁省,辽河流域,汤河水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,盘锦兴安(兴安),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,珠尔山,02-22 08:00,Ⅳ,3.12207,7.37447,10.92938,635.4398,4.43958,2.24022,1.09,0.07466,--,--,--,维护
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,02-22 08:00,Ⅳ,3.63475,6.76238,12.37652,346.6341,20.92847,6.42099,0.20087,0.04011,1.42296,--,--,正常
吉林省,松花江流域,圈河,02-22 08:00,Ⅲ,9.3,6.86,8.81031,327.0303,4,2.62,0.57579,0.0468,3.47067,--,--,正常
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,02-22 08:00,Ⅲ,3.43405,7.38132,12.8497,341.723,12.3554,4.3656,0.32044,0.04248,2.18863,--,--,正常
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,02-22 08:00,Ⅳ,14.5,7.36,7.25,672,11.5,3.09375,0.19391,0.06913,2.91262,0.01211,4032341,正常
江苏省,长江流域,林山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,太湖流域,沙渚,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,小红圈,02-22 08:00,Ⅱ,16.54,8.49,9.27,638.3,3.56,3.21,0.08,--,--,--,--,正常
江苏省,淮河流域,李集桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,艾山西大桥,02-22 08:00,Ⅲ,11.8701,8.29753,13.0869,793.482,5.31136,4.9,0.16,0.03512,13.87614,--,--,正常
江苏省,太湖流域,兰山嘴(老),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,太湖流域,西山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,淮河流域,大兴桥,02-22 08:00,Ⅳ,11.1,8.75,12.47,914.3,124.25,6.14,0.238,--,--,--,--,正常
江苏省,淮河流域,淮河大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,长江流域,三江营,02-22 08:00,Ⅱ,11.89,8.05,10.28,364.66,22.06,1.83,0.065,0.072,1.991,--,--,正常
江苏省,淮河流域,大屈,02-22 08:00,Ⅲ,13.1,8.46,9.81,861.5,20.55,5.34,0.13,0.034,1.802,--,--,正常
浙江省,浙闽片河流,街口(鸠坑口),02-22 08:00,Ⅰ,13.89,8.07,10.68,152.87,7.48,1.376,0.013,0.016,0.941,--,--,正常
浙江省,太湖流域,斜路港,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,王江泾,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
浙江省,太湖流域,新港口(新塘港),02-22 08:00,Ⅱ,14.0653,8.50992,11.0253,405.123,117.459,2.98814,0.09705,0.06261,6.82536,0.01238,--,正常
安徽省,巢湖流域,湖滨(老),02-22 04:00,--,13.9056,6.77107,10.27917,357.5112,94.86459,4.8,0.74,--,9.281,0.02116,--,维护
安徽省,巢湖流域,裕溪口(老),02-22 08:00,Ⅳ,14.06769,7.3311,6.08384,265.2661,87.47473,2.83,0.07,0.0923,4.586,0.02686,--,正常
安徽省,淮河流域,蚌埠闸上(蚌埠闸),02-22 08:00,Ⅲ,16.21,7.29,9.65,535.13,75.45,4.218,0.292,0.069,2.298,--,--,正常
安徽省,淮河流域,石头埠(老),02-22 08:00,Ⅳ,15.59031,6.63381,4.17712,535.7316,15.97342,5.36,0.17,--,--,--,--,正常
安徽省,淮河流域,小王桥,02-22 08:00,Ⅳ,11.53,8.09,8.34,1790.19,21.15,6.241,0.035,0.091,2.083,--,--,正常
安徽省,长江流域,皖河口,02-22 08:00,Ⅱ,14.74,7.805,9.63,333.62,46.53,1.308,0.021,0.0625,2.038,--,--,正常
安徽省,淮河流域,小柳巷,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,张大桥,02-22 08:00,Ⅲ,13.7,8.05,12.81,2124.6,5.9,5.47,0.02,0.071,8.204,--,--,正常
安徽省,淮河流域,王家坝,02-22 08:00,Ⅱ,12.24524,7.47473,10.12519,343.3599,16.81137,3.4,0.396,0.06416,1.9255,--,--,正常
安徽省,淮河流域,界首七渡口(七渡口),02-22 08:00,Ⅲ,11.9236,8.11984,9.60914,841.8729,14.82643,4.93,0.47,0.08918,6.3402,--,--,正常
安徽省,淮河流域,许庄(徐庄),02-22 08:00,Ⅱ,13.2,7.88,10.12,1040.4,20.8,3.83,0.03,0.02,2.579,--,--,正常
安徽省,淮河流域,杨庄,--,--,--,--,--,--,--,--,--,--,--,--,--,维护
安徽省,淮河流域,泗县公路桥,02-22 08:00,Ⅱ,13.1,8.32,9.82,973.3,22.36,3.42,0.09,--,--,--,--,正常
安徽省,淮河流域,颜集,02-22 08:00,--,15.9,7.89,9.41,1790.5,49.13,5.93,0.62,--,--,--,--,维护
福建省,浙闽片河流,白岩潭,02-22 08:00,Ⅱ,16.33,7.25,8.87,5994.3,90.03,2.31,0.221,--,--,--,--,正常
江西省,长江流域,滁槎,02-22 08:00,Ⅱ,16.76341,6.97979,7.64707,162.9458,32.105,2.37,0.36,0.0525,2.17,--,--,正常
