省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,海河流域,古北口,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
天津市,海河流域,三岔口,12-26 08:00,Ⅱ,4.0588,7.9844,12.676,365.0709,15.585,1.03,0.16,0.006,1.1964,--,--,正常
天津市,海河流域,果河桥,12-26 08:00,Ⅱ,5,8.84,17.514,676.519,5.1,2.7685,0.21,0.0319,4.8644,--,--,正常
河北省,海河流域,岗南水库,12-26 08:00,Ⅱ,10.28034,8.71438,11.20415,540.7183,2.13205,2.2918,0.08,0.01949,2.67885,--,--,正常
河北省,海河流域,八号桥,12-26 08:00,Ⅴ,1.40312,8.45865,11.95965,1635.738,36.67062,6.97,0.54,0.363,7.17507,--,--,正常
山西省,黄河流域,河津大桥,12-26 08:00,Ⅳ,6.63715,8.26047,11.01903,1848.144,59.63909,5.45,1.14,--,--,--,--,正常
山西省,黄河流域,万家寨水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,画匠营子,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,海勃湾,12-26 08:00,Ⅱ,5.07857,8.15334,9.59055,834.0377,29.05677,1.4,0.2,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,12-26 08:00,Ⅱ,5.38911,7.75942,10.62658,298.0751,8.92814,3.71272,0.1,0.02307,2.91145,0.00123,--,正常
辽宁省,辽河流域,江桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,辽河公园,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,汤河水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,盘锦兴安(兴安),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,珠尔山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,12-26 08:00,Ⅳ,3.53113,7.09927,12.91537,392.5237,30.96985,6.49514,0.27405,0.06851,1.8055,--,--,正常
吉林省,松花江流域,圈河,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,12-26 08:00,Ⅲ,3.09446,7.21876,12.00002,365.2349,19.62553,5.33608,0.32204,0.05493,3.54334,--,--,正常
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,长江流域,林山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,太湖流域,沙渚,12-26 08:00,Ⅱ,15.95191,8.085071,10.54527,411.9101,28.41261,2.994459,0.18,0.0313,1.59,0.008059,--,正常
江苏省,淮河流域,小红圈,12-26 08:00,Ⅱ,4.98,8.28,19.89,597.9,22.32,2.02,0.072,--,--,--,--,正常
江苏省,淮河流域,李集桥,12-26 08:00,Ⅲ,5.03,8.15,11.25,1148.1,45.1,5.53,0.059,0.045,2.03,--,--,正常
江苏省,淮河流域,艾山西大桥,12-26 08:00,Ⅱ,4.14658,8.6182,14.1114,873.388,4.4244,2.83,0.09,0.03461,13.34216,--,--,正常
江苏省,太湖流域,兰山嘴(老),12-26 08:00,Ⅲ,9.73946,8.0082,11.53885,407.957,66.23233,4.8,0.28,0.16276,5.79059,0.02874,--,正常
江苏省,太湖流域,西山,12-26 08:00,Ⅲ,8.99554,7.5283,12.57002,609.6131,49.18488,2.13,0.12,0.0354,0.6015,0.01583,--,正常
江苏省,淮河流域,大兴桥,12-26 08:00,Ⅲ,4.6,7.23,12.51,871.6,14.46,5.03,0.313,--,--,--,--,正常
江苏省,淮河流域,淮河大桥,12-26 08:00,Ⅱ,8.59849,7.9737,10.39061,570.0894,19.16434,3.98,0.24,0.0568,2.171,--,--,正常
江苏省,长江流域,三江营,12-26 08:00,Ⅱ,10.05,7.93,10.53,352.61,36.23,1.764,0.029,0.083,2.04,--,--,正常
江苏省,淮河流域,大屈,12-26 08:00,Ⅳ,7.6,7.69,11.97,1076.5,18.33,6.74,0.09,0.1,4.575,--,--,正常
浙江省,浙闽片河流,街口(鸠坑口),12-26 08:00,--,14.92,7.11,7.51,167.06,13.89,2.081,0.004,0.019,1.236,--,--,维护
浙江省,太湖流域,斜路港,12-26 04:00,劣Ⅴ,9.2,7.79,7.17,613,35.7,9.16,1.97983,0.5481,5.83658,--,--,正常
浙江省,太湖流域,王江泾,12-26 08:00,Ⅲ,9.66,7.07,8.35,678.16,74.76,4.922,0.745,0.079,2.049,--,--,正常
浙江省,太湖流域,新港口(新塘港),12-26 08:00,Ⅲ,7.85263,8.05285,11.8973,396.845,111.954,4.61528,0.07965,0.07705,3.76593,0.02889,--,正常
安徽省,巢湖流域,湖滨(老),12-26 08:00,Ⅳ,8.54348,6.8722,11.51936,283.7579,84.88641,4.46,0.4,0.0805,2.49,0.02477,--,正常
安徽省,巢湖流域,裕溪口(老),12-26 08:00,劣Ⅴ,9.79769,7.57478,8.86685,339.1703,81.35429,2.11,0.05,0.2275,1.49,0.01344,--,正常
安徽省,淮河流域,蚌埠闸上(蚌埠闸),12-26 08:00,Ⅲ,10.62,8.08,11.52,516.11,39.74,5.224,0.277,0.074,1.764,--,--,正常
安徽省,淮河流域,石头埠(老),12-26 08:00,Ⅲ,8.43182,7.52472,5.97643,331.396,24.10733,3.33,0.3,--,--,--,--,正常
安徽省,淮河流域,小王桥,12-26 08:00,Ⅳ,5.72,8.3,10.84,1819.53,29.1,6.627,0.049,0.079,1.518,--,--,正常
安徽省,长江流域,皖河口,12-26 08:00,Ⅱ,11.97,7.532,8.7,308.32,27.17,1.494,0.081,0.0684,2.417,--,--,正常
安徽省,淮河流域,小柳巷,12-26 08:00,Ⅲ,8.9,7.1,10.14,476.7,88.75,1.91,0.101,0.137,2.171,--,--,正常
安徽省,淮河流域,张大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,王家坝,12-26 08:00,Ⅱ,5.90016,7.5423,13.76351,356.9654,13.28472,3.92,0.436,0.05882,2.03637,--,--,正常
安徽省,淮河流域,界首七渡口(七渡口),12-26 08:00,Ⅲ,7.72778,7.00185,9.88892,982.1801,5.93081,3.83,0.71,0.09396,5.64356,--,--,正常
安徽省,淮河流域,许庄(徐庄),12-26 08:00,--,5.4,7.88,11.98,906.6,288.83,4.27,--,0.035,2.444,--,--,维护
安徽省,淮河流域,杨庄,12-26 08:00,Ⅲ,8.12,7.93,10.42,976.2,139.37,4.57,0.002,--,--,--,--,正常
安徽省,淮河流域,泗县公路桥,12-26 08:00,Ⅲ,6.37,8.17,11.54,964.7,9.31,4.94,0.059,--,--,--,--,正常
安徽省,淮河流域,颜集,12-26 08:00,Ⅲ,6,8.26,11.78,1576.9,75.63,2.3,0.52,0.054,5.241,--,--,正常
