省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度,站点情况
北京市,海河流域,沿河城,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
北京市,海河流域,古北口,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
天津市,海河流域,三岔口,12-29 08:00,Ⅰ,3.3309,8.0552,12.065,507.2684,8.666,0.93,0.13,0.0073,1.2772,--,--,正常
天津市,海河流域,果河桥,12-29 08:00,Ⅱ,5,8.98,19.937,640.373,15.3,3.0316,0.23,0.0316,4.4927,--,--,正常
河北省,海河流域,岗南水库,12-29 08:00,Ⅱ,10.1305,8.73042,11.21664,520.5211,1.95032,2.30773,0.05,0.0144,2.51516,--,--,正常
河北省,海河流域,八号桥,12-29 08:00,Ⅲ,1.16894,8.62987,12.36555,1358.717,14.90487,3.09,0.51,0.089,5.73,--,--,正常
山西省,黄河流域,河津大桥,12-29 08:00,Ⅳ,7.12265,8.42493,11.81595,1959.391,102.7621,8.075,0.62,--,--,--,--,正常
山西省,黄河流域,万家寨水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,画匠营子,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
内蒙古自治区,黄河流域,海勃湾,12-29 08:00,Ⅱ,3.8661,8.42703,10.21901,836.6458,27.00172,1.4,0.25,--,--,--,--,正常
内蒙古自治区,松花江流域,黑山头,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,大伙房水库,12-29 08:00,Ⅱ,5.27625,7.77454,10.67206,298.2319,9.92591,2.37706,0.13,0.02189,2.87821,0.00094,--,正常
辽宁省,辽河流域,江桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,辽河公园,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,汤河水库,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,盘锦兴安(兴安),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
辽宁省,辽河流域,珠尔山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,松花江村,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
吉林省,松花江流域,白沙滩,12-29 08:00,Ⅳ,3.21242,6.04111,12.83599,397.8416,28.98774,6.59234,0.29332,0.06656,1.72205,--,--,正常
吉林省,松花江流域,圈河,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,肇源,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,乌苏镇,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
黑龙江省,松花江流域,同江,12-29 08:00,Ⅲ,2.67775,7.21876,12.12502,378.9068,19.25053,5.56649,0.32364,0.05566,3.62154,--,--,正常
黑龙江省,松花江流域,黑河下(黑河),--,--,--,--,--,--,--,--,--,--,--,--,--,停站
上海市,长江流域,急水港桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,长江流域,林山,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
江苏省,太湖流域,沙渚,12-29 08:00,劣Ⅴ,16.66141,8.101832,10.43199,429.8404,19.05093,2.838314,2.1,0.0225,1.612,0.004199,--,正常
江苏省,淮河流域,小红圈,12-29 08:00,Ⅱ,5.89,8.07,15.3,658.2,5.46,3.27,0.085,--,--,--,--,正常
江苏省,淮河流域,李集桥,12-29 08:00,Ⅳ,6.07,7.86,9.08,1273.6,28.03,8.06,0.766,0.049,3.913,--,--,正常
江苏省,淮河流域,艾山西大桥,12-29 04:00,Ⅱ,5.80038,8.68326,15.5204,925.447,6.65261,3,0.1,0.03544,14.24449,--,--,正常
江苏省,太湖流域,兰山嘴(老),12-29 08:00,Ⅲ,11.31946,7.87745,10.93226,404.0466,31.25114,4.14,0.54,0.08816,3.6977,0.03835,--,正常
江苏省,太湖流域,西山,12-29 08:00,Ⅳ,9.74258,7.50548,12.05446,479.4232,42.07753,2.08,0.15,0.0714,0.625,0.0142,--,正常
江苏省,淮河流域,大兴桥,12-29 08:00,Ⅲ,5.4,7.27,12.09,892.4,36.45,4.71,0.374,--,--,--,--,正常
江苏省,淮河流域,淮河大桥,12-29 08:00,Ⅱ,8.59008,7.98279,10.4515,554.7203,27.67829,3.78,0.13,0.0609,2.235,--,--,正常
江苏省,长江流域,三江营,12-29 08:00,Ⅱ,10.57,7.94,10.44,359.42,47.42,1.766,0.031,0.09,2.13,--,--,正常
江苏省,淮河流域,大屈,12-29 08:00,Ⅲ,8.9,7.75,11.03,1058.5,25.56,5.98,0.05,0.084,4.029,--,--,正常
浙江省,浙闽片河流,街口(鸠坑口),12-29 08:00,Ⅰ,15.15,7.14,7.52,165.81,14.19,1.349,0.002,0.016,1.112,--,--,正常
浙江省,太湖流域,斜路港,12-29 04:00,劣Ⅴ,11.4,7.69,6.13,639,63.6,6.73,1.9128,0.70756,5.80606,--,--,正常
浙江省,太湖流域,王江泾,12-29 08:00,Ⅲ,10.63,7.11,9.06,679.11,43.7,5.187,0.697,0.078,2.083,--,--,正常
浙江省,太湖流域,新港口(新塘港),12-29 08:00,Ⅱ,9.41263,8.27825,12.1089,387.653,146.155,3.05866,0.13207,0.07676,3.57977,0.02618,--,正常
安徽省,巢湖流域,湖滨(老),12-29 08:00,Ⅴ,8.94982,6.80905,11.07232,271.2717,125.8838,4.76,0.4,0.1067,2.448,0.02939,--,正常
安徽省,巢湖流域,裕溪口(老),12-29 08:00,Ⅳ,11.26324,7.57362,8.56128,310.8234,95.46599,1.89,0.03,0.0829,3.601,0.01249,--,正常
安徽省,淮河流域,蚌埠闸上(蚌埠闸),12-29 08:00,Ⅲ,11.37,8.06,11.41,520.94,40.53,5.351,0.292,0.062,--,--,--,维护
安徽省,淮河流域,石头埠(老),12-29 08:00,Ⅲ,10.19579,7.45534,5.85068,369.7725,19.34321,3.29,0.29,--,--,--,--,正常
安徽省,淮河流域,小王桥,12-29 08:00,Ⅳ,6.7,8.32,9.96,1767.47,18.77,6.287,0.054,0.09,--,--,--,维护
安徽省,长江流域,皖河口,12-29 08:00,Ⅱ,12.54,7.495,8.63,303.04,25.13,1.326,0.079,0.0649,2.35,--,--,正常
安徽省,淮河流域,小柳巷,12-29 08:00,Ⅲ,9.2,7.04,10.34,463.5,73.94,1.07,0.074,0.122,2.163,--,--,正常
安徽省,淮河流域,张大桥,--,--,--,--,--,--,--,--,--,--,--,--,--,停站
安徽省,淮河流域,王家坝,12-29 08:00,Ⅲ,6.29,7.60091,11.74618,460.6746,14.02409,4.08,0.491,0.07146,2.43804,--,--,正常
安徽省,淮河流域,界首七渡口(七渡口),12-29 08:00,Ⅲ,7.83197,7.89995,16.19754,968.1179,5.073,4.1,0.65,0.08092,--,--,--,维护
安徽省,淮河流域,许庄(徐庄),12-29 08:00,--,4.1,7.84,11.83,919.9,715.81,3.47,--,0.034,2.596,--,--,维护
安徽省,淮河流域,杨庄,12-29 08:00,Ⅲ,8.81,7.93,9.7,991.2,84.13,4.22,0.791,--,--,--,--,正常
安徽省,淮河流域,泗县公路桥,12-29 08:00,Ⅲ,8.13,8.09,11.52,966.2,16.48,4.68,0.058,--,--,--,--,正常
安徽省,淮河流域,颜集,12-29 08:00,Ⅲ,6.7,7.95,11.83,1590.2,102.52,2.17,0.45,0.141,4.291,--,--,正常
